% Model,biological disk (only electromagnet).mph
% Version,COMSOL 5.1.0.145
% Date,"Jun 5 2022, 08:43"
% Dimension,2
% Nodes,100
% Expressions,2
% Description,"Magnetic flux density, r component, Magnetic flux density, z component"
% Length unit,m
% r,z,mf.Br (T) @ freq=20000,mf.Bz (T) @ freq=20000
0.006,0.0025,-0.0032937412369597593,-2.075412247508658E-4
0.006242424242424243,0.0025,-0.002823713846719988,-5.210458495302694E-4
0.006484848484848485,0.0025,-0.0023212725547506387,-4.762890252473957E-4
0.006727272727272728,0.0025,-0.0020733828592365906,-6.511123248548539E-4
0.0069696969696969695,0.0025,-0.0018109876518295049,-6.648473275482902E-4
0.007212121212121212,0.0025,-0.0015758917325817655,-6.727230840216367E-4
0.007454545454545455,0.0025,-0.001384988326077207,-6.372377834800924E-4
0.007696969696969697,0.0025,-0.0011942756774021923,-6.268397427956327E-4
0.007939393939393939,0.0025,-0.0010719334747740384,-6.08823667713716E-4
0.008181818181818182,0.0025,-9.49591272145881E-4,-5.837462795305877E-4
0.008424242424242424,0.0025,-8.317263556211723E-4,-5.548601294741451E-4
0.008666666666666666,0.0025,-7.264036372240444E-4,-5.306907059417267E-4
0.008909090909090908,0.0025,-6.55844788983998E-4,-5.017018958888271E-4
0.009151515151515152,0.0025,-5.852859407439563E-4,-4.6803623739859743E-4
0.009393939393939394,0.0025,-5.160593041935637E-4,-4.329056612098778E-4
0.009636363636363637,0.0025,-4.634951847005096E-4,-4.266036133226176E-4
0.00987878787878788,0.0025,-4.213870445596501E-4,-3.997011278212504E-4
0.010121212121212121,0.0025,-3.798479146878801E-4,-3.6895159904117816E-4
0.010363636363636363,0.0025,-3.429714079746611E-4,-3.477615383684619E-4
0.010606060606060605,0.0025,-3.100419873692823E-4,-3.3791056230182427E-4
0.010848484848484849,0.0025,-2.857952181869406E-4,-3.153028476076267E-4
0.01109090909090909,0.0025,-2.598848346761153E-4,-2.9693511076775544E-4
0.011333333333333334,0.0025,-2.3397445116529053E-4,-2.7678888691399107E-4
0.011575757575757576,0.0025,-2.1606519896519012E-4,-2.671205147908227E-4
0.011818181818181818,0.0025,-1.9957667646438966E-4,-2.5254426107917586E-4
0.01206060606060606,0.0025,-1.8308815396358828E-4,-2.3665510228432928E-4
0.012303030303030302,0.0025,-1.6749079671346794E-4,-2.220728869712642E-4
0.012545454545454545,0.0025,-1.5406994619612206E-4,-2.1432906599997873E-4
0.012787878787878789,0.0025,-1.4236966847910718E-4,-2.0378233804978278E-4
0.013030303030303031,0.0025,-1.3203245210708677E-4,-1.9193432250612757E-4
0.013272727272727273,0.0025,-1.223164967314662E-4,-1.806851018595908E-4
0.013515151515151515,0.0025,-1.1325402961591532E-4,-1.7406040804668552E-4
0.013757575757575757,0.0025,-1.0540392913081277E-4,-1.649308702852579E-4
0.014,0.0025,-9.819732301798184E-5,-1.5753444641878415E-4
0.014242424242424242,0.0025,-9.099071690515156E-5,-1.49568510475117E-4
0.014484848484848484,0.0025,-8.485418368306841E-5,-1.4317571484697076E-4
0.014727272727272728,0.0025,-7.961206922135603E-5,-1.3672142294971268E-4
0.01496969696969697,0.0025,-7.449846306162067E-5,-1.301631912507648E-4
0.015212121212121212,0.0025,-6.938485690188346E-5,-1.231815377970519E-4
0.015454545454545455,0.0025,-6.496965915814973E-5,-1.1855320511235874E-4
0.015696969696969695,0.0025,-6.0797393908348235E-5,-1.1359405589775539E-4
0.01593939393939394,0.0025,-5.72638018520582E-5,-1.086791960962784E-4
0.01618181818181818,0.0025,-5.3730209795767336E-5,-1.0345711644469088E-4
0.016424242424242425,0.0025,-5.059975341556054E-5,-9.953751929558718E-5
0.016666666666666666,0.0025,-4.765112100919063E-5,-9.504200841894054E-5
0.01690909090909091,0.0025,-4.4950686021530254E-5,-9.15367087158127E-5
0.017151515151515154,0.0025,-4.225025103387009E-5,-8.780779428348738E-5
0.017393939393939392,0.0025,-3.9549816046208957E-5,-8.386461486673775E-5
0.017636363636363638,0.0025,-3.777848199998618E-5,-8.110562357945561E-5
0.01787878787878788,0.0025,-3.575862253239913E-5,-7.788178386905892E-5
0.01812121212121212,0.0025,-3.373876306481268E-5,-7.448274774927536E-5
0.018363636363636363,0.0025,-3.1900656459703074E-5,-7.179839025824763E-5
0.018606060606060605,0.0025,-3.0076855783935444E-5,-6.94203725152463E-5
0.01884848484848485,0.0025,-2.8644708462475838E-5,-6.671805058572507E-5
0.01909090909090909,0.0025,-2.720172440834562E-5,-6.400497665241963E-5
0.019333333333333334,0.0025,-2.5855459990293444E-5,-6.174769160617827E-5
0.019575757575757576,0.0025,-2.447243356377732E-5,-5.972149960119799E-5
0.019818181818181818,0.0025,-2.335583880555672E-5,-5.74689935931286E-5
0.02006060606060606,0.0025,-2.2209020530283667E-5,-5.5524302524511104E-5
0.020303030303030302,0.0025,-2.1062202255010126E-5,-5.3482006426114856E-5
0.020545454545454547,0.0025,-2.0065934770085222E-5,-5.184774411922752E-5
0.020787878787878786,0.0025,-1.922365264150501E-5,-5.003460539898056E-5
0.02103030303030303,0.0025,-1.832558001932643E-5,-4.8247999128840135E-5
0.021272727272727273,0.0025,-1.7427507397148258E-5,-4.6382244725094746E-5
0.021515151515151515,0.0025,-1.6663424112954702E-5,-4.514659751166482E-5
0.02175757575757576,0.0025,-1.587696268271952E-5,-4.367770854222879E-5
0.022,0.0025,-1.5217972119588125E-5,-4.226061808869747E-5
0.022242424242424244,0.0025,-1.4558981556456792E-5,-4.0781141560174805E-5
0.022484848484848483,0.0025,-1.3924345209010585E-5,-3.9624875331822764E-5
0.022727272727272728,0.0025,-1.3319494679571095E-5,-3.82806979458325E-5
0.022969696969696966,0.0025,-1.2765390805374868E-5,-3.719547748508548E-5
0.02321212121212121,0.0025,-1.2211286931178397E-5,-3.6061094932873966E-5
0.023454545454545457,0.0025,-1.171249551331537E-5,-3.498636664824001E-5
0.023696969696969696,0.0025,-1.1254408583096756E-5,-3.392289836917724E-5
0.02393939393939394,0.0025,-1.0799137377661712E-5,-3.291624430481574E-5
0.02418181818181818,0.0025,-1.034386617222656E-5,-3.186871225824441E-5
0.024424242424242425,0.0025,-9.932029294903348E-6,-3.0993204097339804E-5
0.024666666666666663,0.0025,-9.502840047756283E-6,-3.013952782842809E-5
0.02490909090909091,0.0025,-9.164924257463813E-6,-2.9255391141450206E-5
0.025151515151515154,0.0025,-8.81375956326321E-6,-2.8381021907199797E-5
0.025393939393939392,0.0025,-8.484106824984306E-6,-2.760566099642009E-5
0.025636363636363638,0.0025,-8.135623613716265E-6,-2.686311200039958E-5
0.025878787878787876,0.0025,-7.846363897152746E-6,-2.6093799805273177E-5
0.02612121212121212,0.0025,-7.549240500857163E-6,-2.54004940509782E-5
0.02636363636363636,0.0025,-7.2521171045614174E-6,-2.4680906846792525E-5
0.026606060606060605,0.0025,-6.986550921841842E-6,-2.4076009198186224E-5
0.02684848484848485,0.0025,-6.762914260904316E-6,-2.3416610851076635E-5
0.02709090909090909,0.0025,-6.5136571199522395E-6,-2.2774184126672455E-5
0.027333333333333334,0.0025,-6.279640905343105E-6,-2.2149663900360655E-5
0.027575757575757573,0.0025,-6.0436745450453185E-6,-2.1620992192324424E-5
0.02781818181818182,0.0025,-5.837479460312888E-6,-2.1053634786191222E-5
0.028060606060606064,0.0025,-5.640481907589246E-6,-2.0520034133361793E-5
0.028303030303030302,0.0025,-5.443484354865835E-6,-1.996794787765564E-5
0.028545454545454547,0.0025,-5.26149950171148E-6,-1.9497353736500605E-5
0.028787878787878786,0.0025,-5.068791446569305E-6,-1.9014758819281774E-5
0.02903030303030303,0.0025,-4.917685601203035E-6,-1.8543223137428512E-5
0.02927272727272727,0.0025,-4.754006551623368E-6,-1.809104724070413E-5
0.029515151515151515,0.0025,-4.617012451020846E-6,-1.7654352761066388E-5
0.02975757575757576,0.0025,-4.449732340749686E-6,-1.721889345439948E-5
0.03,0.0025,-4.293222344395873E-6,-1.6788496568480846E-5
